,pearson_r,pearson_p,spearman_r,spearman_p,mutual_info,cramers_v
time,,,,,0.008287432133165008,0.12
date,,,,,0.10788214681066899,0.28
count,-0.12,0.0,-0.13,0.0,0.03220513201283404,
working,,,,,0.000800296779372667,0.09
molten_temp,-0.01,0.0,-0.03,0.0,0.0016573031325890497,
facility_operation_cycleTime,0.01,0.0,0.03,0.0,0.004209261189072944,
production_cycletime,-0.06,0.0,-0.02,0.0,0.009454415724334808,
low_section_speed,-0.23,0.0,-0.08,0.0,0.033968429996888316,
high_section_speed,0.17,0.0,0.05,0.0,0.01699546327197199,
molten_volume,0.02,0.0,0.0,0.48,0.0011100997880837404,
cast_pressure,-0.78,0.0,-0.19,0.0,0.07445051686927251,
biscuit_thickness,0.18,0.0,-0.03,0.0,0.014657742937255858,
upper_mold_temp1,-0.16,0.0,-0.13,0.0,0.02803491323112084,
upper_mold_temp2,-0.19,0.0,-0.17,0.0,0.0271376556242775,
upper_mold_temp3,-0.03,0.0,-0.04,0.0,0.01853032100355967,
lower_mold_temp1,-0.16,0.0,-0.14,0.0,0.018972121072109438,
lower_mold_temp2,-0.18,0.0,-0.15,0.0,0.033810863953987136,
lower_mold_temp3,0.0,0.59,0.01,0.0,0.014546525500096497,
sleeve_temperature,0.0,0.83,-0.04,0.0,0.007939086103312398,
physical_strength,0.03,0.0,-0.0,0.77,0.004402617029732214,
Coolant_temperature,0.01,0.14,-0.1,0.0,0.014454240791024642,
EMS_operation_time,0.03,0.0,0.03,0.0,0.012123637072282811,
mold_code,,,,,0.002025554068840205,0.06
heating_furnace,,,,,0.00010971355295869012,0.01
